Start Time,2_(Electric Bass(finger)),3_(Alto Sax),4_(Acoustic Guitar(steel)),5_(Overdriven Guitar),6_(Voice Oohs),10_(Acoustic Grand)
1.6,0,0,0,0,0,1
3.2,0,0,1,0,0,0
27.2,0,1,0,0,0,0
28.8,0,0,1,0,0,0
46.4,0,1,0,0,0,0
48,0,0,1,0,0,0
49.6,0,0,0,0,0,1
51.2,0,0,1,0,0,0
59.208,0,1,0,0,0,0
60.963,0,0,0,0,0,1
62.658,0,0,1,0,0,0
65.863,0,1,0,0,0,0
67.466,0,0,1,0,0,0
85.69,0,0,0,1,0,0
86.669,0,0,1,0,0,0
97.997,0,0,0,1,0,0
99.639,0,0,0,0,0,1
101.241,0,0,1,0,0,0
104.691,0,1,0,0,0,0
111.602,0,0,0,0,1,0
114.802,0,1,0,0,0,0
116.405,0,0,0,0,1,0
119.611,0,1,0,0,0,0
121.414,0,0,0,0,0,1
124.75,0,0,1,0,0,0
169.625,Ending,,,,,
