Start Time,2_(Violin),1_(Acoustic Grand)
0,0,1
9.739,1,0
19.589,0,1
20.825,1,0
23.252,0,1
31.4,1,0
32.204,0,1
35.804,1,0
37.4,0,1
46.631,1,0
47.96,0,1
51.598,1,0
52.824,0,1
79.721,1,0
85.787,0,1
92.887,1,0
94.127,0,1
130.711,1,0
131.934,0,1
135.562,1,0
136.785,0,1
140.414,1,0
142.909,0,1
146.445,1,0
148.74,0,1
152.194,1,0
170.528,0,1
171.837,1,0
174.245,0,1
185.416,1,0
186.616,0,1
202.403,1,0
203.607,0,1
208.711,1,0
210.183,0,1
211.973,1,0
214.428,0,1
250.821,1,0
253.27,0,1
254.47,1,0
258.7,0,1
259.27,1,0
260.47,0,1
261.67,1,0
262.87,0,1
276.131,1,0
280.427,0,1
283.168,1,0
285.568,0,1
296.471,1,0
297.671,Ending,
